,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_gl,mip_gl,mip_gl,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it
,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,0,0,0,4,4,4,4,5,5,5,5,4,4,4,5,5,5,6,6,6,6,7,7,7,7,6,6,6,7,7,7
,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time
40b_3s_3et_3nt_127t_749,0.05,0.37,0.03,0.45,0.05,0.37,0.04,0.46,0.07,0.38,0.05,0.49,0.08,0.12,0.2,0.11,0.09,0.2,0.14,0.12,0.26,0.16,0.25,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40b_3s_3et_3nt_128t_135,0.05,0.4,0.03,0.48,0.05,0.39,0.05,0.49,0.07,0.38,0.03,0.48,0.06,0.03,0.1,0.09,0.03,0.12,0.11,0.04,0.15,0.12,0.12,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40b_3s_3et_3nt_128t_406,0.07,0.4,0.07,0.54,0.05,0.39,0.09,0.53,0.05,0.39,0.08,0.52,0.1,0.08,0.17,0.15,0.1,0.25,0.17,0.13,0.3,0.17,0.26,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40b_3s_3et_3nt_128t_575,0.05,0.39,0.05,0.5,0.07,0.39,0.08,0.53,0.05,0.38,0.08,0.52,0.09,0.07,0.16,0.14,0.09,0.23,0.15,0.12,0.27,0.15,0.22,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40b_3s_3et_3nt_128t_946,0.05,0.39,0.05,0.5,0.07,0.38,0.08,0.53,0.05,0.39,0.1,0.54,0.09,0.09,0.18,0.13,0.11,0.24,0.18,0.14,0.33,0.17,0.25,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40b_3s_3et_3nt_129t_264,0.05,0.4,0.03,0.48,0.07,0.41,0.03,0.51,0.05,0.41,0.03,0.5,0.07,0.04,0.11,0.09,0.03,0.12,0.13,0.04,0.18,0.11,0.08,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40b_3s_3et_3nt_130t_113,0.05,0.42,0.06,0.53,0.05,0.43,0.08,0.55,0.07,0.43,0.1,0.6,0.08,0.08,0.15,0.11,0.09,0.2,0.14,0.14,0.27,0.16,0.33,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40b_3s_3et_3nt_130t_321,0.05,0.43,0.03,0.51,0.05,0.42,0.04,0.5,0.07,0.42,0.04,0.53,0.08,0.06,0.14,0.11,0.08,0.19,0.14,0.12,0.26,0.14,0.11,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40b_3s_3et_3nt_130t_853,0.07,0.42,0.08,0.57,0.05,0.42,0.1,0.57,0.05,0.42,0.09,0.56,0.1,0.08,0.17,0.15,0.1,0.25,0.17,0.15,0.32,0.17,0.25,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40b_3s_3et_3nt_135t_143,0.08,0.49,0.05,0.62,0.05,0.49,0.07,0.61,0.05,0.49,0.08,0.62,0.07,0.04,0.11,0.12,0.05,0.17,0.12,0.08,0.2,0.12,0.16,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40b_5s_5et_5nt_160t_597,0.07,1.07,0.07,1.22,0.09,1.07,0.08,1.24,0.07,2.68,0.12,2.87,0.25,0.28,0.53,0.28,0.38,0.66,0.36,0.71,1.07,0.49,11.34,11.84,0.09,2.74,0.15,2.98,0.07,2.22,0.1,2.39,0.4,0.87,1.27,0.49,0.61,1.1,,,,,,,,,,,,,,
40b_5s_5et_5nt_160t_710,0.07,1.13,0.2,1.41,0.09,1.27,0.19,1.55,0.07,2.84,0.24,3.16,0.21,0.24,0.44,0.28,0.33,0.6,0.31,0.46,0.77,0.43,232.34,232.77,0.1,2.97,0.26,3.33,0.07,2.65,0.27,2.99,0.39,0.48,0.87,0.45,0.58,1.03,,,,,,,,,,,,,,
40b_5s_5et_5nt_162t_789,0.1,1.06,0.08,1.24,0.07,1.1,0.08,1.26,0.1,2.82,0.13,3.05,0.17,0.13,0.31,0.21,0.19,0.4,0.28,0.2,0.49,0.37,4.41,4.78,0.07,2.88,0.14,3.09,0.1,2.18,0.1,2.38,0.32,0.23,0.55,0.39,0.27,0.66,,,,,,,,,,,,,,
40b_5s_5et_5nt_162t_851,0.09,1.14,0.1,1.33,0.07,1.25,0.1,1.43,0.09,2.94,0.16,3.2,0.23,0.52,0.74,0.3,0.36,0.67,0.34,0.91,1.25,0.49,66.15,66.65,0.07,3.13,0.18,3.38,0.09,2.72,0.12,2.94,0.43,0.73,1.16,0.47,0.65,1.13,,,,,,,,,,,,,,
40b_5s_5et_5nt_163t_611,0.1,1.2,0.07,1.38,0.07,1.2,0.08,1.35,0.1,3.01,0.12,3.23,0.23,0.19,0.42,0.28,0.27,0.55,0.36,0.37,0.73,0.49,16.3,16.79,0.07,3.14,0.16,3.36,0.1,2.47,0.09,2.66,0.4,0.5,0.9,0.49,0.54,1.03,,,,,,,,,,,,,,
40b_5s_5et_5nt_165t_428,0.07,1.26,0.1,1.43,0.1,1.42,0.09,1.62,0.07,3.46,0.17,3.71,0.21,0.21,0.42,0.28,0.31,0.59,0.31,0.38,0.69,0.43,10.44,10.87,0.1,3.68,0.17,3.94,0.07,2.67,0.09,2.84,0.39,0.44,0.83,0.46,0.52,0.98,,,,,,,,,,,,,,
40b_5s_5et_5nt_166t_170,0.1,1.3,0.09,1.49,0.08,1.4,0.09,1.58,0.1,3.39,0.16,3.64,0.21,0.21,0.41,0.26,0.26,0.52,0.33,0.34,0.67,0.46,90.51,90.97,0.07,3.59,0.19,3.85,0.1,2.77,0.14,3.01,0.37,0.43,0.8,0.46,0.49,0.95,,,,,,,,,,,,,,
