,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_gl,mip_gl,mip_gl
,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,0,0,0
,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time
50b_10s_10et_10nt_282t_510,0.25,9.53,0.78,10.56,0.28,18.63,0.98,19.88,0.24,17.21,0.8,18.25,0.25,12.75,1.02,14.01,0.24,13.02,1.28,14.54,0.23,13.13,1.05,14.41,0.23,13.06,1.01,14.31,0.23,13.01,1.09,14.34,0.23,13.04,1.08,14.35,0.22,14.65,1.12,16.0,0.96,1.97,2.93,1.03,1.68,2.71,1.19,1.66,2.85,1.32,3.19,4.51,1.43,3.08,4.5,1.6,2.31,3.91,1.78,3.52,5.29,1.92,2.94,4.86,2.07,3.55,5.62,2.27,3.75,6.02,2.27,inf,302.38
50b_10s_10et_10nt_285t_659,0.23,9.9,0.28,10.41,0.22,18.12,0.5,18.85,0.22,18.75,0.51,19.48,0.22,16.31,0.31,16.83,0.25,17.1,0.3,17.65,0.23,17.85,0.3,18.39,0.24,17.91,0.34,18.49,0.24,18.18,0.34,18.76,0.23,18.18,0.4,18.81,0.23,18.18,0.46,18.87,0.91,0.92,1.83,1.03,2.44,3.47,1.18,2.86,4.05,1.32,3.1,4.43,1.43,2.52,3.95,1.6,4.81,6.41,1.8,5.77,7.57,1.91,6.66,8.58,2.09,7.69,9.78,2.27,7.43,9.7,2.27,inf,302.35
50b_10s_10et_10nt_288t_618,0.23,9.73,0.39,10.35,0.22,18.61,0.54,19.37,0.22,19.14,0.52,19.89,0.22,15.76,0.38,16.37,0.26,15.97,0.39,16.61,0.24,16.22,0.37,16.83,0.24,16.28,0.38,16.9,0.24,16.6,0.39,17.23,0.23,16.66,0.43,17.32,0.23,16.52,0.48,17.23,1.04,2.28,3.33,1.2,2.79,3.99,1.32,3.6,4.92,1.48,4.55,6.04,1.65,5.18,6.83,1.79,6.49,8.28,2.0,7.18,9.18,2.14,7.63,9.78,2.36,10.15,12.51,2.53,10.26,12.79,2.54,inf,302.66
50b_10s_10et_10nt_291t_435,0.23,10.91,0.72,11.86,0.24,20.63,0.98,21.85,0.24,21.6,1.17,23.0,0.24,17.4,1.14,18.79,0.24,17.58,1.09,18.91,0.24,17.74,1.18,19.17,0.24,17.8,1.15,19.18,0.24,17.79,1.25,19.28,0.24,17.8,1.29,19.33,0.24,17.75,1.36,19.35,0.95,1.92,2.87,1.03,2.32,3.36,1.18,2.91,4.09,1.32,3.12,4.44,1.45,3.65,5.11,1.6,4.4,6.0,1.77,5.64,7.41,1.92,3.05,4.97,2.1,7.53,9.63,2.31,8.05,10.36,2.26,inf,302.36
50b_10s_10et_10nt_291t_77,0.23,11.07,0.39,11.69,0.24,20.64,0.52,21.39,0.24,21.74,0.5,22.48,0.24,17.44,0.48,18.16,0.3,19.66,0.56,20.52,0.25,17.95,0.53,18.72,0.24,18.24,0.57,19.05,0.24,18.14,0.67,19.06,0.28,18.15,0.76,19.19,0.24,18.11,0.86,19.21,1.04,1.68,2.71,1.18,2.42,3.6,1.34,2.57,3.91,1.47,3.44,4.91,1.67,4.28,5.95,1.81,5.05,6.86,1.98,5.46,7.44,2.15,6.66,8.81,2.33,6.63,8.96,2.56,7.47,10.03,2.52,inf,302.7
50b_10s_10et_10nt_292t_928,0.23,11.27,0.65,12.15,0.22,21.46,0.66,22.35,0.22,21.52,0.89,22.63,0.27,18.3,0.78,19.35,0.24,18.5,0.77,19.51,0.24,18.87,0.84,19.96,0.24,18.79,0.79,19.82,0.25,18.91,0.87,20.03,0.24,18.92,0.89,20.06,0.26,18.84,0.94,20.05,1.12,2.22,3.34,1.26,3.46,4.72,1.43,3.93,5.35,1.56,4.18,5.73,1.82,5.23,7.05,1.94,6.01,7.95,2.1,7.35,9.46,2.29,9.29,11.58,2.52,9.02,11.54,2.68,9.56,12.25,2.69,inf,303.02
50b_10s_10et_10nt_294t_409,0.23,16.97,0.52,17.73,0.24,17.21,0.58,18.03,0.24,17.29,0.67,18.2,0.24,21.3,1.57,23.11,0.24,20.17,0.79,21.2,0.24,25.18,0.82,26.25,0.24,23.53,0.88,24.65,0.25,25.38,0.93,26.56,0.24,27.16,0.9,28.3,0.25,35.33,0.84,36.42,1.18,3.1,4.29,1.33,3.61,4.94,1.52,1.61,3.12,1.68,4.89,6.57,1.86,5.55,7.41,2.04,7.12,9.16,2.22,7.58,9.8,2.45,9.8,12.25,2.63,18.21,20.85,2.88,12.16,15.04,2.88,inf,303.26
50b_10s_10et_10nt_296t_192,0.22,12.28,0.43,12.93,0.25,23.33,1.04,24.61,0.24,23.81,0.99,25.04,0.24,19.47,0.68,20.39,0.23,19.82,0.75,20.81,0.24,20.08,0.9,21.21,0.24,20.29,0.94,21.47,0.24,20.39,1.09,21.72,0.24,20.3,1.19,21.74,0.24,20.3,1.31,21.85,1.34,3.4,4.74,1.54,5.23,6.77,1.71,9.9,11.61,1.87,9.55,11.42,2.09,9.37,11.47,2.29,12.55,14.84,2.52,12.19,14.71,2.71,14.72,17.43,2.92,18.72,21.64,3.17,24.12,27.29,3.65,inf,303.7
50b_10s_10et_10nt_296t_313,0.24,12.06,0.38,12.68,0.24,22.99,0.62,23.84,0.24,24.58,0.63,25.46,0.24,18.87,0.52,19.64,0.24,19.22,0.57,20.03,0.24,19.39,0.61,20.25,0.24,19.52,0.66,20.42,0.25,19.57,0.74,20.55,0.25,19.54,0.83,20.61,0.25,19.57,0.93,20.75,1.25,2.48,3.73,1.42,4.97,6.39,1.59,7.66,9.26,1.77,4.56,6.33,1.95,6.71,8.66,2.14,6.85,8.99,2.33,7.35,9.68,2.57,7.94,10.51,2.76,10.39,13.14,2.99,11.15,14.14,3.0,inf,303.09
50b_10s_10et_10nt_345t_257,0.28,17.99,0.62,18.88,0.27,18.19,0.9,19.36,0.27,19.03,0.87,20.18,0.27,20.8,0.98,22.04,0.28,20.77,1.2,22.24,0.26,20.8,1.13,22.2,0.31,29.9,1.23,31.43,0.28,24.67,1.26,26.21,0.28,33.72,1.35,35.35,0.27,28.65,1.24,30.17,1.02,1.27,2.3,1.18,3.92,5.1,1.31,3.15,4.46,1.47,4.32,5.78,1.6,2.14,3.74,1.81,5.35,7.16,1.96,10.53,12.49,2.13,7.27,9.4,2.34,12.3,14.64,2.5,14.56,17.07,2.53,inf,302.68
50b_3s_3et_3nt_144t_630,0.07,1.05,0.08,1.2,0.07,1.05,0.05,1.17,0.09,1.05,0.06,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.09,0.2,0.14,0.1,0.25,0.19,0.15,0.34,,,,,,,,,,,,,,,,,,,,,,0.2,0.6,0.81
50b_3s_3et_3nt_144t_805,0.07,1.07,0.09,1.22,0.07,1.06,0.06,1.19,0.09,1.04,0.06,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.06,0.15,0.12,0.07,0.19,0.18,0.1,0.27,,,,,,,,,,,,,,,,,,,,,,0.15,0.24,0.39
50b_3s_3et_3nt_145t_112,0.07,1.1,0.06,1.24,0.09,1.09,0.08,1.27,0.07,1.09,0.1,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.09,0.2,0.17,0.11,0.28,0.19,0.15,0.34,,,,,,,,,,,,,,,,,,,,,,0.19,0.17,0.36
50b_3s_3et_3nt_145t_775,0.09,1.1,0.06,1.25,0.07,1.09,0.11,1.26,0.07,1.09,0.14,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.1,0.24,0.16,0.11,0.27,0.21,0.16,0.36,,,,,,,,,,,,,,,,,,,,,,0.23,0.31,0.53
50b_3s_3et_3nt_147t_2,0.07,1.19,0.05,1.31,0.07,1.19,0.08,1.34,0.09,1.17,0.07,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.06,0.16,0.13,0.07,0.2,0.19,0.1,0.29,,,,,,,,,,,,,,,,,,,,,,0.17,0.35,0.51
50b_3s_3et_3nt_150t_128,0.07,1.28,0.09,1.45,0.09,1.27,0.1,1.47,0.07,1.27,0.12,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.09,0.22,0.15,0.1,0.25,0.19,0.14,0.33,,,,,,,,,,,,,,,,,,,,,,0.19,0.17,0.35
50b_3s_3et_3nt_151t_150,0.09,1.33,0.11,1.52,0.07,1.3,0.09,1.46,0.09,1.3,0.11,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.08,0.18,0.13,0.1,0.24,0.17,0.14,0.31,,,,,,,,,,,,,,,,,,,,,,0.19,0.44,0.63
